mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__learning_rate,param_model__hidden_unit,param_model__embed_dim,param_model__dropout_rate,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
1564.905337492625,116.43003565190809,6.858017047246297,1.3334824991746355,0.0001,64,64,0.5,"{'model__learning_rate': 0.0001, 'model__hidden_unit': 64, 'model__embed_dim': 64, 'model__dropout_rate': 0.5}",0.8984075791171134,0.8927635557347309,0.9020358798629309,0.8977356715715917,0.003815109740396009,4
774.8312235673269,119.42938145641924,6.241583744684855,3.3635513502376466,0.001,32,64,0.2,"{'model__learning_rate': 0.001, 'model__hidden_unit': 32, 'model__embed_dim': 64, 'model__dropout_rate': 0.2}",0.893569844789357,0.8969965732715178,0.8957871396895787,0.8954511859168178,0.0014189821999558466,6
1020.311394850413,36.16749800809498,8.306120872497559,2.3280827450993447,0.0001,64,32,0.5,"{'model__learning_rate': 0.0001, 'model__hidden_unit': 64, 'model__embed_dim': 32, 'model__dropout_rate': 0.5}",0.8901431163071961,0.8853053819794396,0.8951824228986092,0.8902103070617483,0.004032564963548655,10
689.5516439278921,99.10026371476381,8.257805744806925,3.885761954755609,0.01,32,64,0.5,"{'model__learning_rate': 0.01, 'model__hidden_unit': 32, 'model__embed_dim': 64, 'model__dropout_rate': 0.5}",0.8911509776254787,0.8915541221527917,0.8957871396895787,0.8928307464892832,0.0020969544492813685,8
1496.3588203589122,64.58948226993486,8.93015456199646,2.4396879674909075,0.001,64,64,0.2,"{'model__learning_rate': 0.001, 'model__hidden_unit': 64, 'model__embed_dim': 64, 'model__dropout_rate': 0.2}",0.9024390243902439,0.8990122959080831,0.9111066317274743,0.9041859840086005,0.0050896719382935145,2
727.1251894632975,73.68786138797955,6.59721310933431,3.1451203463447057,0.001,32,64,0.5,"{'model__learning_rate': 0.001, 'model__hidden_unit': 32, 'model__embed_dim': 64, 'model__dropout_rate': 0.5}",0.9010280185446482,0.8988107236444265,0.9064704696633743,0.902103070617483,0.003218149570604874,3
513.2019240061442,78.51656707541792,5.192309697469075,1.666778199892994,0.01,32,32,0.5,"{'model__learning_rate': 0.01, 'model__hidden_unit': 32, 'model__embed_dim': 32, 'model__dropout_rate': 0.5}",0.8959887119532353,0.8961902842168917,0.8959887119532353,0.8960559027077876,9.502207635374113e-05,5
585.8170728683472,31.213976516530682,7.0255246957143145,2.643460998175643,0.01,32,64,0.2,"{'model__learning_rate': 0.01, 'model__hidden_unit': 32, 'model__embed_dim': 64, 'model__dropout_rate': 0.2}",0.8887321104616005,0.88933682725257,0.89397298931667,0.8906806423436135,0.0023410940522991777,9
1120.2317832310994,22.934564893612887,14.271790027618408,5.0561230789043154,0.0001,64,32,0.2,"{'model__learning_rate': 0.0001, 'model__hidden_unit': 64, 'model__embed_dim': 32, 'model__dropout_rate': 0.2}",0.8967950010078614,0.8897399717798831,0.8994154404353961,0.8953168044077136,0.004085949283211951,7
1561.3729224999745,186.76341396578127,5.074322621027629,0.2396173969559742,0.0001,64,64,0.2,"{'model__learning_rate': 0.0001, 'model__hidden_unit': 64, 'model__embed_dim': 64, 'model__dropout_rate': 0.2}",0.9042531747631526,0.8976012900624875,0.9115097762547874,0.9044547470268092,0.00567990437557159,1
